Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps
72.0,2021.0,2021-11-01,8.0,KAN,Home,NYG,W 20-17,Start,48.0,60.42,275.0,1.0,1.0,2.0,3.0,10.0,0.0,81.0
73.0,2021.0,2021-11-07,9.0,KAN,Home,GNB,W 13-7,Start,37.0,54.05,166.0,1.0,0.0,1.0,2.0,-2.0,0.0,65.0
74.0,2021.0,2021-11-14,10.0,KAN,Away,LVR,W 41-14,Start,50.0,70.0,406.0,5.0,0.0,0.0,0.0,0.0,0.0,73.0
75.0,2021.0,2021-11-21,11.0,KAN,Home,DAL,W 19-9,Start,37.0,62.16,260.0,0.0,1.0,3.0,7.0,11.0,0.0,68.0
76.0,2021.0,2021-12-05,13.0,KAN,Home,DEN,W 22-9,Start,29.0,51.72,184.0,0.0,1.0,1.0,4.0,12.0,1.0,57.0
77.0,2021.0,2021-12-12,14.0,KAN,Home,LVR,W 48-9,Start,24.0,83.33,258.0,2.0,0.0,3.0,4.0,20.0,0.0,62.0
78.0,2021.0,2021-12-16,15.0,KAN,Away,LAC,W 34-28,Start,47.0,65.96,410.0,3.0,1.0,1.0,3.0,32.0,0.0,72.0
79.0,2021.0,2021-12-26,16.0,KAN,Home,PIT,W 36-10,Start,30.0,76.67,258.0,3.0,0.0,2.0,0.0,0.0,0.0,63.0
80.0,2021.0,2022-01-02,17.0,KAN,Away,CIN,L 31-34,Start,35.0,74.29,259.0,2.0,0.0,0.0,2.0,25.0,0.0,61.0
81.0,2021.0,2022-01-08,18.0,KAN,Away,DEN,W 28-24,Start,44.0,61.36,270.0,2.0,0.0,1.0,9.0,54.0,0.0,78.0
82.0,2022.0,2022-09-11,1.0,KAN,Away,ARI,W 44-21,Start,39.0,76.92,360.0,5.0,0.0,0.0,3.0,5.0,0.0,65.0
83.0,2022.0,2022-09-15,2.0,KAN,Home,LAC,W 27-24,Start,35.0,68.57,235.0,2.0,0.0,1.0,2.0,-1.0,0.0,57.0
84.0,2022.0,2022-09-25,3.0,KAN,Away,IND,L 17-20,Start,35.0,57.14,262.0,1.0,1.0,1.0,4.0,26.0,0.0,63.0
85.0,2022.0,2022-10-02,4.0,KAN,Away,TAM,W 41-31,Start,37.0,62.16,249.0,3.0,1.0,3.0,4.0,34.0,0.0,80.0
86.0,2022.0,2022-10-10,5.0,KAN,Home,LVR,W 30-29,Start,43.0,67.44,292.0,4.0,0.0,3.0,4.0,28.0,0.0,72.0
87.0,2022.0,2022-10-16,6.0,KAN,Home,BUF,L 20-24,Start,40.0,62.5,338.0,2.0,2.0,3.0,4.0,21.0,0.0,67.0
88.0,2022.0,2022-10-23,7.0,KAN,Away,SFO,W 44-23,Start,34.0,73.53,423.0,3.0,1.0,1.0,0.0,0.0,0.0,58.0
89.0,2022.0,2022-11-06,9.0,KAN,Home,TEN,W 20-17,Start,68.0,63.24,446.0,1.0,1.0,4.0,6.0,63.0,1.0,100.0
90.0,2022.0,2022-11-13,10.0,KAN,Home,JAX,W 27-17,Start,35.0,74.29,331.0,4.0,1.0,0.0,7.0,39.0,0.0,63.0
91.0,2022.0,2022-11-20,11.0,KAN,Away,LAC,W 30-27,Start,34.0,58.82,329.0,3.0,0.0,1.0,4.0,23.0,0.0,65.0
92.0,2022.0,2022-11-27,12.0,KAN,Home,LAR,W 26-10,Start,42.0,64.29,320.0,1.0,1.0,0.0,4.0,36.0,0.0,76.0
93.0,2022.0,2022-12-04,13.0,KAN,Away,CIN,L 24-27,Start,27.0,59.26,223.0,1.0,0.0,2.0,2.0,9.0,1.0,55.0
94.0,2022.0,2022-12-11,14.0,KAN,Away,DEN,W 34-28,Start,42.0,66.67,352.0,3.0,3.0,2.0,3.0,-3.0,0.0,68.0
95.0,2022.0,2022-12-18,15.0,KAN,Away,HOU,W 30-24,Start,41.0,87.8,336.0,2.0,0.0,2.0,5.0,33.0,1.0,77.0
96.0,2022.0,2022-12-24,16.0,KAN,Home,SEA,W 24-10,Start,28.0,57.14,224.0,2.0,0.0,1.0,2.0,8.0,1.0,53.0
97.0,2022.0,2023-01-01,17.0,KAN,Home,DEN,W 27-24,Start,42.0,69.05,328.0,3.0,1.0,0.0,4.0,8.0,0.0,60.0
98.0,2022.0,2023-01-07,18.0,KAN,Away,LVR,W 31-13,Start,26.0,69.23,202.0,1.0,0.0,2.0,3.0,29.0,0.0,52.0
99.0,2023.0,2023-09-07,1.0,KAN,Home,DET,L 20-21,Start,39.0,53.85,226.0,2.0,1.0,0.0,6.0,45.0,0.0,65.0
100.0,2023.0,2023-09-17,2.0,KAN,Away,JAX,W 17-9,Start,41.0,70.73,305.0,2.0,1.0,1.0,7.0,30.0,0.0,67.0
101.0,2023.0,2023-09-24,3.0,KAN,Home,CHI,W 41-10,Start,33.0,72.73,272.0,3.0,0.0,0.0,3.0,28.0,0.0,56.0
102.0,2023.0,2023-10-01,4.0,KAN,Away,NYJ,W 23-20,Start,30.0,60.0,203.0,1.0,2.0,1.0,7.0,51.0,0.0,70.0
103.0,2023.0,2023-10-08,5.0,KAN,Away,MIN,W 27-20,Start,41.0,75.61,281.0,2.0,0.0,2.0,0.0,0.0,0.0,66.0
104.0,2023.0,2023-10-12,6.0,KAN,Home,DEN,W 19-8,Start,40.0,75.0,306.0,1.0,1.0,2.0,6.0,31.0,0.0,71.0
105.0,2023.0,2023-10-22,7.0,KAN,Home,LAC,W 31-17,Start,42.0,76.19,424.0,4.0,1.0,1.0,4.0,29.0,0.0,68.0
106.0,2023.0,2023-10-29,8.0,KAN,Away,DEN,L 9-24,Start,38.0,63.16,240.0,0.0,2.0,3.0,3.0,20.0,0.0,61.0
107.0,2023.0,2023-11-05,9.0,KAN,Home,MIA,W 21-14,Start,30.0,66.67,185.0,2.0,0.0,2.0,6.0,24.0,0.0,60.0
108.0,2023.0,2023-11-20,11.0,KAN,Home,PHI,L 17-21,Start,43.0,55.81,177.0,2.0,1.0,1.0,6.0,38.0,0.0,79.0
109.0,2023.0,2023-11-26,12.0,KAN,Away,LVR,W 31-17,Start,34.0,79.41,298.0,2.0,0.0,1.0,5.0,9.0,0.0,60.0
110.0,2023.0,2023-12-03,13.0,KAN,Away,GNB,L 19-27,Start,33.0,63.64,210.0,1.0,1.0,3.0,4.0,26.0,0.0,67.0
