,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,,,Tackles,,,,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
51,2020,9/28/20,3,3,25.011,KAN,@,BAL,W 34-20,*,31,42,73.81,385,4,0,133.5,0,0,9.17,11.07,4,26,6.5,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
52,2020,10/5/20,4,4,25.018,KAN,,NWE,W 26-10,*,19,29,65.52,236,2,0,113.6,1,7,8.14,9.52,8,28,3.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
53,2020,10/11/20,5,5,25.024,KAN,,LVR,L 32-40,*,22,43,51.16,340,2,1,83.5,3,7,7.91,7.79,6,21,3.5,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
54,2020,10/19/20,6,6,25.032,KAN,@,BUF,W 26-17,*,21,26,80.77,225,2,0,128.4,1,4,8.65,10.19,10,36,3.6,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,73,100%,0,0%,0,0%,
55,2020,10/25/20,7,7,25.038,KAN,@,DEN,W 43-16,*,15,23,65.22,200,1,0,107.2,3,25,8.7,9.57,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,80%,0,0%,0,0%,
56,2020,11/1/20,8,8,25.045,KAN,,NYJ,W 35-9,*,31,42,73.81,416,5,0,144.4,0,0,9.9,12.29,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,82%,0,0%,0,0%,
57,2020,11/8/20,9,9,25.052,KAN,,CAR,W 33-31,*,30,45,66.67,372,4,0,121.7,2,11,8.27,10.04,1,6,6,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
58,2020,11/22/20,10,11,25.066,KAN,@,LVR,W 35-31,*,34,45,75.56,348,2,1,102.8,0,0,7.73,7.62,4,16,4,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
59,2020,11/29/20,11,12,25.073,KAN,@,TAM,W 27-24,*,37,49,75.51,462,3,0,124.7,2,6,9.43,10.65,4,28,7,0,1,0,0,,0,0.00%,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%,
60,2020,12/6/20,12,13,25.08,KAN,,DEN,W 22-16,*,25,40,62.5,318,1,0,95.6,1,5,7.95,8.45,4,26,6.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
61,2020,12/13/20,13,14,25.087,KAN,@,MIA,W 33-27,*,24,34,70.59,393,2,3,91.9,3,39,11.56,8.76,5,9,1.8,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,-9,0,62,100%,0,0%,0,0%,
62,2020,12/20/20,14,15,25.094,KAN,@,NOR,W 32-29,*,26,47,55.32,254,3,0,92,4,22,5.4,6.68,7,37,5.29,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,98,100%,0,0%,0,0%,
63,2020,12/27/20,15,16,25.101,KAN,,ATL,W 17-14,*,24,44,54.55,278,2,1,79.5,0,0,6.32,6.2,3,21,7,0,1,0,0,,0,0.00%,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
64,2020,1/3/21,16,17,,KAN,,LAC,L 21-38,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2021,9/12/21,1,1,25.36,KAN,,CLE,W 33-29,*,27,36,75,337,3,0,131.4,2,13,9.36,11.03,5,18,3.6,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
66,2021,9/19/21,2,2,26.002,KAN,@,BAL,L 35-36,*,24,31,77.42,343,3,1,131.5,0,0,11.06,11.55,1,3,3,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,100%,0,0%,0,0%,
67,2021,9/26/21,3,3,26.009,KAN,,LAC,L 24-30,*,27,44,61.36,260,3,2,81.6,2,9,5.91,5.23,4,45,11.25,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,
68,2021,10/3/21,4,4,26.016,KAN,@,PHI,W 42-30,*,24,30,80,278,5,1,131,1,7,9.27,11.1,5,26,5.2,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
69,2021,10/10/21,5,5,26.023,KAN,,BUF,L 20-38,*,33,54,61.11,272,2,2,70.9,2,0,5.04,4.11,8,61,7.63,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,-20,0,86,100%,0,0%,0,0%,
70,2021,10/17/21,6,6,26.03,KAN,@,WAS,W 31-13,*,32,47,68.09,397,2,2,90.5,3,7,8.45,7.38,3,31,10.33,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,3,0,82,100%,0,0%,0,0%,
71,2021,10/24/21,7,7,26.037,KAN,@,TEN,L 3-27,*,20,35,57.14,206,0,1,62.3,4,31,5.89,4.6,6,35,5.83,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,54,75%,0,0%,0,0%,
72,2021,11/1/21,8,8,26.045,KAN,,NYG,W 20-17,*,29,48,60.42,275,1,1,74.6,2,14,5.73,5.21,3,10,3.33,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,100%,0,0%,0,0%,
73,2021,11/7/21,9,9,26.051,KAN,,GNB,W 13-7,*,20,37,54.05,166,1,0,74.8,1,6,4.49,5.03,2,-2,-1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
74,2021,11/14/21,10,10,26.058,KAN,@,LVR,W 41-14,*,35,50,70,406,5,0,127.6,0,0,8.12,10.12,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,96%,0,0%,0,0%,
75,2021,11/21/21,11,11,26.065,KAN,,DAL,W 19-9,*,23,37,62.16,260,0,1,71.9,3,16,7.03,5.81,7,11,1.57,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,
76,2021,12/5/21,12,13,26.079,KAN,,DEN,W 22-9,*,15,29,51.72,184,0,1,57.3,1,6,6.34,4.79,4,12,3,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
77,2021,12/12/21,13,14,26.086,KAN,,LVR,W 48-9,*,20,24,83.33,258,2,0,139.2,3,18,10.75,12.42,4,20,5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,94%,0,0%,0,0%,
78,2021,12/16/21,14,15,26.09,KAN,@,LAC,W 34-28,*,31,47,65.96,410,3,1,105.8,1,0,8.72,9.04,3,32,10.67,0,0,0,0,,0,0.00%,,,0,0,0,1,0,1,0,0,1,1,0,0,0,0,72,100%,0,0%,0,0%,
79,2021,12/26/21,15,16,26.1,KAN,,PIT,W 36-10,*,23,30,76.67,258,3,0,135.1,2,4,8.6,10.6,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,91%,0,0%,0,0%,
80,2021,1/2/22,16,17,26.107,KAN,@,CIN,L 31-34,*,26,35,74.29,259,2,0,113.9,0,0,7.4,8.54,2,25,12.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
81,2021,1/8/22,17,18,26.113,KAN,@,DEN,W 28-24,*,27,44,61.36,270,2,0,93.9,1,15,6.14,7.05,9,54,6,0,0,0,0,,0,0.00%,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,
82,2022,9/11/22,1,1,26.359,KAN,@,ARI,W 44-21,*,30,39,76.92,360,5,0,144.2,0,0,9.23,11.79,3,5,1.67,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,93%,0,0%,0,0%,
83,2022,9/15/22,2,2,26.363,KAN,,LAC,W 27-24,*,24,35,68.57,235,2,0,106.2,1,9,6.71,7.86,2,-1,-0.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
84,2022,9/25/22,3,3,27.008,KAN,@,IND,L 17-20,*,20,35,57.14,262,1,1,78.5,1,5,7.49,6.77,4,26,6.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
85,2022,10/2/22,4,4,27.015,KAN,@,TAM,W 41-31,*,23,37,62.16,249,3,1,97.7,3,21,6.73,7.14,4,34,8.5,0,0,0,0,,0,0.00%,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,
