Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps,Class
58.0,2017.0,2017-11-19,11.0,OAK,Home,NWE,L 8-33,Start,49.0,57.14,237.0,1.0,1.0,1.0,0.0,0.0,0.0,74.0,0
59.0,2017.0,2017-11-26,12.0,OAK,Home,DEN,W 21-14,Start,24.0,75.0,253.0,2.0,0.0,2.0,3.0,-3.0,0.0,68.0,1
60.0,2017.0,2017-12-03,13.0,OAK,Home,NYG,W 24-17,Start,36.0,61.11,287.0,1.0,0.0,1.0,1.0,-1.0,0.0,65.0,1
61.0,2017.0,2017-12-10,14.0,OAK,Away,KAN,L 15-26,Start,41.0,58.54,211.0,1.0,2.0,3.0,0.0,0.0,0.0,61.0,0
62.0,2017.0,2017-12-17,15.0,OAK,Home,DAL,L 17-20,Start,38.0,55.26,171.0,2.0,0.0,0.0,4.0,47.0,0.0,66.0,0
63.0,2017.0,2017-12-25,16.0,OAK,Away,PHI,L 10-19,Start,29.0,51.72,140.0,1.0,2.0,1.0,3.0,3.0,0.0,67.0,0
64.0,2017.0,2017-12-31,17.0,OAK,Away,LAC,L 10-30,Start,28.0,67.86,243.0,1.0,1.0,2.0,2.0,1.0,0.0,54.0,0
65.0,2018.0,2018-09-10,1.0,OAK,Home,LAR,L 13-33,Start,40.0,72.5,303.0,0.0,3.0,1.0,2.0,1.0,0.0,70.0,0
66.0,2018.0,2018-09-16,2.0,OAK,Away,DEN,L 19-20,Start,32.0,90.63,288.0,1.0,0.0,1.0,0.0,0.0,0.0,65.0,0
67.0,2018.0,2018-09-23,3.0,OAK,Away,MIA,L 20-28,Start,39.0,69.23,345.0,1.0,2.0,3.0,2.0,-2.0,0.0,76.0,0
68.0,2018.0,2018-09-30,4.0,OAK,Home,CLE,W 45-42,Start,58.0,60.34,437.0,4.0,2.0,3.0,2.0,1.0,0.0,92.0,1
69.0,2018.0,2018-10-07,5.0,OAK,Away,LAC,L 10-26,Start,33.0,72.73,268.0,1.0,1.0,3.0,1.0,5.0,0.0,53.0,0
70.0,2018.0,2018-10-14,6.0,OAK,Home,SEA,L 3-27,Start,31.0,74.19,142.0,0.0,0.0,6.0,4.0,31.0,0.0,60.0,0
71.0,2018.0,2018-10-28,8.0,OAK,Home,IND,L 28-42,Start,28.0,75.0,244.0,3.0,0.0,0.0,2.0,0.0,1.0,50.0,0
72.0,2018.0,2018-11-01,9.0,OAK,Away,SFO,L 3-34,Start,21.0,76.19,171.0,0.0,0.0,7.0,3.0,5.0,0.0,47.0,0
73.0,2018.0,2018-11-11,10.0,OAK,Home,LAC,L 6-20,Start,37.0,64.86,243.0,0.0,0.0,4.0,2.0,2.0,0.0,63.0,0
74.0,2018.0,2018-11-18,11.0,OAK,Away,ARI,W 23-21,Start,31.0,61.29,192.0,2.0,0.0,4.0,0.0,0.0,0.0,68.0,1
75.0,2018.0,2018-11-25,12.0,OAK,Away,BAL,L 17-34,Start,34.0,47.06,194.0,1.0,0.0,3.0,0.0,0.0,0.0,56.0,0
76.0,2018.0,2018-12-02,13.0,OAK,Home,KAN,L 33-40,Start,38.0,76.32,285.0,3.0,0.0,3.0,1.0,8.0,0.0,76.0,0
77.0,2018.0,2018-12-09,14.0,OAK,Home,PIT,W 24-21,Start,34.0,73.53,322.0,2.0,0.0,4.0,1.0,-1.0,0.0,67.0,1
78.0,2018.0,2018-12-16,15.0,OAK,Away,CIN,L 16-30,Start,38.0,55.26,263.0,1.0,0.0,5.0,0.0,0.0,0.0,59.0,0
79.0,2018.0,2018-12-24,16.0,OAK,Home,DEN,W 27-14,Start,26.0,73.08,167.0,0.0,0.0,1.0,4.0,-3.0,0.0,62.0,1
80.0,2018.0,2018-12-30,17.0,OAK,Away,KAN,L 3-35,Start,33.0,72.73,185.0,0.0,2.0,3.0,0.0,0.0,0.0,66.0,0
81.0,2019.0,2019-09-09,1.0,OAK,Home,DEN,W 24-16,Start,26.0,84.62,259.0,1.0,0.0,0.0,2.0,2.0,0.0,55.0,1
82.0,2019.0,2019-09-15,2.0,OAK,Home,KAN,L 10-28,Start,38.0,60.53,198.0,1.0,2.0,3.0,2.0,18.0,0.0,62.0,0
83.0,2019.0,2019-09-22,3.0,OAK,Away,MIN,L 14-34,Start,34.0,79.41,242.0,2.0,1.0,4.0,1.0,0.0,0.0,59.0,0
84.0,2019.0,2019-09-29,4.0,OAK,Away,IND,W 31-24,Start,31.0,67.74,189.0,2.0,0.0,1.0,2.0,-1.0,0.0,64.0,1
85.0,2019.0,2019-10-06,5.0,OAK,Home,CHI,W 24-21,Start,32.0,78.13,229.0,0.0,0.0,0.0,3.0,8.0,0.0,72.0,1
86.0,2019.0,2019-10-20,7.0,OAK,Away,GNB,L 24-42,Start,28.0,78.57,293.0,2.0,1.0,0.0,2.0,0.0,0.0,59.0,0
87.0,2019.0,2019-10-27,8.0,OAK,Away,HOU,L 24-27,Start,30.0,60.0,285.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,0
88.0,2019.0,2019-11-03,9.0,OAK,Home,DET,W 31-24,Start,31.0,64.52,289.0,2.0,0.0,1.0,0.0,0.0,0.0,70.0,1
89.0,2019.0,2019-11-07,10.0,OAK,Home,LAC,W 26-24,Start,31.0,67.74,218.0,1.0,0.0,3.0,1.0,4.0,0.0,58.0,1
