,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
34,2016,9/18/16,2,2,25.174,OAK,,ATL,L 28-35,*,34,45,75.56,299,3,0,115,1,0,6.64,7.98,2,10,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,-7,0,75,100%,0,0%,0,0%,
35,2016,9/25/16,3,3,25.181,OAK,@,TEN,W 17-10,*,21,35,60,249,1,1,79.3,1,4,7.11,6.4,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
36,2016,10/2/16,4,4,25.188,OAK,@,BAL,W 28-27,*,25,35,71.43,199,4,0,123.4,0,0,5.69,7.97,3,-2,-0.67,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
37,2016,10/9/16,5,5,25.195,OAK,,SDG,W 34-31,*,25,40,62.5,317,2,1,93.4,3,17,7.93,7.8,2,13,6.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
38,2016,10/16/16,6,6,25.202,OAK,,KAN,L 10-26,*,22,34,64.71,225,1,1,81.1,2,4,6.62,5.88,3,8,2.67,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-3,0,55,100%,0,0%,0,0%,
39,2016,10/23/16,7,7,25.209,OAK,@,JAX,W 33-16,*,23,37,62.16,200,1,0,85.4,0,0,5.41,5.95,4,4,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
40,2016,10/30/16,8,8,25.216,OAK,@,TAM,W 30-24,*,40,59,67.8,513,4,0,117.4,2,15,8.69,10.05,1,13,13,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,94,100%,0,0%,0,0%,
41,2016,11/6/16,9,9,25.223,OAK,,DEN,W 30-20,*,20,31,64.52,184,0,0,80.6,2,5,5.94,5.94,4,3,0.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,88,100%,0,0%,0,0%,
42,2016,11/21/16,10,11,25.238,OAK,,HOU,W 27-20,*,21,31,67.74,295,3,1,117,0,0,9.52,10,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
43,2016,11/27/16,11,12,25.244,OAK,,CAR,W 35-32,*,26,38,68.42,315,2,1,100.2,1,5,8.29,8.16,5,-12,-2.4,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-1,0,70,95%,0,0%,0,0%,
